127.0.0.1 - - [05/Jun/2024:09:03:42 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [05/Jun/2024:09:03:44 +0530] "GET /ShopingWeb/index.jsp HTTP/1.1" 200 5994
0:0:0:0:0:0:0:1 - - [05/Jun/2024:09:03:44 +0530] "GET /ShopingWeb/Images/scroll_img2.png HTTP/1.1" 200 138947
0:0:0:0:0:0:0:1 - - [05/Jun/2024:09:03:44 +0530] "GET /ShopingWeb/Images/scroll_img1.png HTTP/1.1" 200 128858
0:0:0:0:0:0:0:1 - - [05/Jun/2024:09:03:44 +0530] "GET /ShopingWeb/Images/scroll_img3.png HTTP/1.1" 200 165752
0:0:0:0:0:0:0:1 - - [05/Jun/2024:09:03:44 +0530] "GET /ShopingWeb/Images/product.png HTTP/1.1" 200 247599
0:0:0:0:0:0:0:1 - - [05/Jun/2024:09:03:44 +0530] "GET /ShopingWeb/Product_imgs/category_image.jpg HTTP/1.1" 404 1481
0:0:0:0:0:0:0:1 - - [05/Jun/2024:09:03:45 +0530] "GET /ShopingWeb/Product_imgs/product_image.jpg HTTP/1.1" 404 1481
0:0:0:0:0:0:0:1 - - [05/Jun/2024:09:03:45 +0530] "GET /ShopingWeb/Product_imgs/hot_deal_image.jpg HTTP/1.1" 404 1481
0:0:0:0:0:0:0:1 - - [05/Jun/2024:09:03:45 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [05/Jun/2024:09:04:01 +0530] "GET /ShopingWeb/viewProduct.jsp?pid=1 HTTP/1.1" 500 14024
